name,name_normalized,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,oily_effect,oily_reason_tr,combination_effect,combination_reason_tr,normal_effect,normal_reason_tr,sensitive_effect,sensitive_reason_tr,mature_effect,mature_reason_tr,pregnancy_safe_effect,pregnancy_safe_reason_tr
"1,2-Hexanediol",12hexanediol,0,0,0,0,0,0,0,,,manual_v2,0,Preservative,Koruyucu / Nemlendirici,"Çift fonksiyonlu bileşen; hem antimikrobiyal koruyucu hem hafif nemlendirici olarak çalışır, diğer koruyucuların etkinliğini artırarak daha temiz formülasyonlara olanak tanır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
1-Methylhydantoin-2-Imide,1methylhydantoin2imide,0,0,0,0,0,0,0,,,manual_v2,0,Preservative,Koruyucu Destekçi,Antimikrobiyal aktiviteyi destekleyen yardımcı koruyucu; formülasyonun mikrobiyal kontaminasyona karşı direncini artırarak ürün güvenliğini sağlar.,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
2-Bromo-2-Nitropropane-1,2bromo2nitropropane1,0,0,0,0,0,0,0,,,top1000,55,Skincare Ingredient,Cilt Bakım Bileşeni,"2-bromo-2-nitropropane-1, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
2-Hexanediol,2hexanediol,0,0,0,0,0,0,0,,,top1000,329,Skincare Ingredient,Cilt Bakım Bileşeni,"2-hexanediol, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
2-Methylresorcinol,2methylresorcinol,0,0,0,0,0,0,0,,,top1000,35,Skincare Ingredient,Cilt Bakım Bileşeni,"2-methylresorcinol, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
2-Oleamido-1,2oleamido1,0,0,0,0,0,0,0,,,top1000,79,Skincare Ingredient,Cilt Bakım Bileşeni,"2-oleamido-1, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
"2-Oleamido-1,3-Octadecanediol",2oleamido13octadecanediol,2,0,0,0,2,0,0,Impaired skin barrier|Dry and dehydrated skin,,manual_v2,0,Ceramide,Seramid Benzeri Lipit,"Cildin doğal sfingolipitlerine benzeyen sentetik lipit; seramidlerle birlikte çalışarak cilt bariyerini güçlendirir, nem kaybını azaltır ve hassas cildin dayanıklılığını artırır.",beneficial,"Cildin doğal sfingolipitlerine benzeyen sentetik lipit; seramidlerle birlikte çalışarak cilt bariyerini güçlendirir, nem",neutral,,neutral,,neutral,,beneficial,"Cildin doğal sfingolipitlerine benzeyen sentetik lipit; seramidlerle birlikte çalışarak cilt bariyerini güçlendirir, nem",neutral,,neutral,
3-Diol,3diol,0,0,0,0,0,0,0,,,top1000,51,Skincare Ingredient,Cilt Bakım Bileşeni,"3-diol, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
3-O-Ethyl Ascorbic Acid,3oethylascorbicacid,1,1,1,1,1,2,0,Pigmentation|Radiance|Fine Lines|Anyone,,manual_v2,0,Vitamin C,C Vitamini (Etil Askorbik Asit),"C vitamininin en stabil ve etkili türevlerinden biri; hem yağda hem suda çözünür, doğrudan aktif form olarak çalışır, güçlü aydınlatma, antioksidan koruma ve kolajen sentezi desteği sağlar, tahriş riski düşüktür.",neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,"C vitamininin en stabil ve etkili türevlerinden biri; hem yağda hem suda çözünür, doğrudan aktif form olarak çalışır, gü",neutral,
3-Octadecanediol,3octadecanediol,0,0,0,0,0,0,0,,,top1000,75,Skincare Ingredient,Cilt Bakım Bileşeni,"3-octadecanediol, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
5-Diamine,5diamine,0,0,0,0,0,0,0,,,top1000,44,Skincare Ingredient,Cilt Bakım Bileşeni,"5-diamine, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Acacia Senegal Gum,acaciasenegalgum,0,0,0,0,0,0,0,,,top1000,68,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"acacia senegal gum, formülasyona kıvam ve stabilite kazandıran polimer; ürünün dokusunu iyileştirir ve bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Acetic Acid,aceticacid,0,0,0,0,0,0,0,,,top1000,58,Skincare Ingredient,Cilt Bakım Bileşeni,"acetic acid, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Acetyl Cedrene,acetylcedrene,0,0,0,0,0,0,0,,,top1000,28,Skincare Ingredient,Cilt Bakım Bileşeni,"acetyl cedrene, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Acetyl Dipeptide-1 Cetyl Ester,acetyldipeptide1cetylester,1,0,0,0,3,1,0,Redness|Impaired skin barrier,,manual_v2,0,Peptide,Peptit (Calmosensine),"Sentetik dipeptit türevi; sinir uçlarındaki hassasiyeti azaltarak cildi yatıştırır, kızarıklık ve tahriş hissini hafifletir, hassas cilt formülasyonlarında tercih edilir.",neutral,,neutral,,neutral,,neutral,,beneficial,"Sentetik dipeptit türevi; sinir uçlarındaki hassasiyeti azaltarak cildi yatıştırır, kızarıklık ve tahriş hissini hafifle",neutral,,neutral,
Acetyl Hexapeptide-8,acetylhexapeptide8,0,0,0,0,0,3,0,Fine Lines|Wrinkles,,manual_v2,0,Peptide,Peptit (Argireline),Botoks benzeri etki gösteren nöropeptit; kas kasılmalarının yoğunluğunu azaltarak mimik çizgileri ve ifade kırışıklıklarının görünümünü hafifletir.,neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,Botoks benzeri etki gösteren nöropeptit; kas kasılmalarının yoğunluğunu azaltarak mimik çizgileri ve ifade kırışıklıklar,neutral,
Acetyl Tributyl Citrate,acetyltributylcitrate,0,0,0,0,0,0,0,,,top1000,40,Skincare Ingredient,Cilt Bakım Bileşeni,"acetyl tributyl citrate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Acetylated Glycol Stearate,acetylatedglycolstearate,1,0,0,0,0,0,0,,,manual_v2,0,Emollient,Yumuşatıcı,Asetillenmiş glikol stearatı; cildi yumuşatan ve formülasyona kremsi doku kazandıran yumuşatıcı ester.,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Achillea Maritima Callus Lysate,achilleamaritimacalluslysate,0,0,0,0,0,3,0,Fine Lines|Wrinkles|Elasticity,,manual_v2,0,Botanical Extract,Bitki Kök Hücre Lizatı,Deniz civanperçeminin kök hücre kültüründen elde edilen biyoteknolojik ekstrakt; cildin kendi kök hücrelerini koruyarak yaşlanmayı yavaşlatır ve hücre yenilenmesini destekler.,neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,Deniz civanperçeminin kök hücre kültüründen elde edilen biyoteknolojik ekstrakt; cildin kendi kök hücrelerini koruyarak ,neutral,
Acmella Oleracea Extract,acmellaoleraceaextract,0,0,0,0,0,3,0,Fine Lines|Wrinkles|Elasticity,,manual_v2,0,Botanical Extract,Bitkisel Ekstrakt (Jambu / Doğal Botoks),Jambu çiçeğinden elde edilen 'doğal botoks' olarak bilinen ekstrakt; spilanthol bileşeniyle kas mikro kasılmalarını gevşeterek ifade çizgilerini yumuşatır ve cildi sıkılaştırır.,neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,Jambu çiçeğinden elde edilen 'doğal botoks' olarak bilinen ekstrakt; spilanthol bileşeniyle kas mikro kasılmalarını gevş,neutral,
Acrylamide/Sodium Acryloyldimethyltaurate Copolymer,acrylamidesodiumacryloyldimethyltauratecopolymer,0,0,0,0,0,0,0,,,manual_v2,0,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"Sentetik kopolimer; formülasyona kremsi ve pürüzsüz kıvam kazandırır, emülsiyon stabilitesini sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Acrylates Copolymer,acrylatescopolymer,0,0,0,0,0,0,0,,,top1000,367,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"acrylates copolymer, formülasyona kıvam ve stabilite kazandıran polimer; ürünün dokusunu iyileştirir ve bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylatesc1030alkylacrylatecrosspolymer,0,0,0,0,0,0,0,,,top1000,455,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"acrylates/c10-30 alkyl acrylate crosspolymer, formülasyona kıvam ve stabilite kazandıran polimer; ürünün dokusunu iyileştirir ve bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Adansonia Digitata Seed Extract,adansoniadigitataseedextract,2,0,0,1,0,1,0,Dry and dehydrated skin|Radiance,,manual_v2,0,Botanical Extract,Bitkisel Ekstrakt (Baobab),"Afrika baobab ağacının tohumundan elde edilen ekstrakt; zengin C vitamini ve antioksidan içeriğiyle cildi besler, nemlendirir ve çevresel strese karşı koruma sağlar.",beneficial,"Afrika baobab ağacının tohumundan elde edilen ekstrakt; zengin C vitamini ve antioksidan içeriğiyle cildi besler, nemlen",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Adenosine,adenosine,0,0,0,0,0,0,0,,,top1000,45,Skincare Ingredient,Cilt Bakım Bileşeni,"adenosine, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer,adipicacidneopentylglycoltrimelliticanhydridecopolymer,1,0,0,0,0,0,0,,,top1000,28,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"adipic acid/neopentyl glycol/trimellitic anhydride copolymer, formülasyona kıvam ve stabilite kazandıran polimer; ürünün dokusunu iyileştirir ve bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Agua,agua,0,0,0,0,0,0,0,,,top1000,31,Skincare Ingredient,Cilt Bakım Bileşeni,"agua, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ahnfeltia Concinna Extract,ahnfeltiaconcinnaextract,1,0,0,0,0,0,0,Dry and dehydrated skin,,manual_v2,0,Botanical Extract,Deniz Yosunu Ekstrakt (Kırmızı Alg),Kırmızı deniz yosunu türünden elde edilen jel oluşturucu ekstrakt; doğal kıvam artırıcı olarak çalışırken cildi nemlendirir ve koruyucu film oluşturarak nem kaybını önler.,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ahnfeltiopsis Concinna Extract,ahnfeltiopsisconcinnaextract,2,0,0,0,1,2,0,Dry and dehydrated skin|Fine Lines|Impaired skin barrier,,manual_v2,0,Botanical Extract,Deniz Yosunu Ekstrakt (Kırmızı Alg),"Kırmızı deniz yosunu türünden elde edilen ekstrakt; cildin nem bariyerini güçlendiren sülfatlı polisakkaritler içerir, hyalüronik asit üretimini desteklediği öne sürülür ve anti-aging formülasyonlarda kullanılır.",beneficial,"Kırmızı deniz yosunu türünden elde edilen ekstrakt; cildin nem bariyerini güçlendiren sülfatlı polisakkaritler içerir, h",neutral,,neutral,,neutral,,neutral,,beneficial,"Kırmızı deniz yosunu türünden elde edilen ekstrakt; cildin nem bariyerini güçlendiren sülfatlı polisakkaritler içerir, h",neutral,
