name,name_normalized,short_description,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,dry_reason_en,oily_effect,oily_reason_tr,oily_reason_en,combination_effect,combination_reason_tr,combination_reason_en,normal_effect,normal_reason_tr,normal_reason_en,sensitive_effect,sensitive_reason_tr,sensitive_reason_en,mature_effect,mature_reason_tr,mature_reason_en,pregnancy_safe_effect,pregnancy_safe_reason_tr,pregnancy_safe_reason_en
"1, 2-Hexanediol",12hexanediol,Rating: Good. Categories: Preservatives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,7,Preservative,Koruyucu,Ürünün raf ömrünü uzatan koruyucu madde,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
10-Hydroxydecanoic Acid,10hydroxydecanoicacid,Rating: Good. Categories: Emollients,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,6,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
4-T-butylcyclohexanol,4tbutylcyclohexanol,"Rating: Good. Categories: Emollients, Skin-Soothing",2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,9,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
AGE,age,Rating: Poor. Categories: Miscellaneous,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,,noxmoon,0,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
AHA,aha,Rating: Best. Categories: Exfoliant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
ATP,atp,"Rating: Best. Categories: Skin-Soothing, Skin-Restoring",3.0,0.0,0.0,0.0,3.0,0.0,0.0,,,noxmoon,0,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Acacia farnesiana extract,acaciafarnesianaextract,"Rating: Poor. Categories: Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",0.0,0.0,0.0,0.0,-2.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Acai Extract,acaiextract,"Acai is a plant ingredient which can also be referred to by its botanical name,  euterpe oleracea. It displays potent antioxidant abilities, meaning it is able to protect skin against free radical damage.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pregnancy,,original,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Acetyl Glucosamine,acetylglucosamine,"Acetyl Glucosamine is an amino acid sugar. It increases hyaluronic acid production in the skin, repairs sun damage, improves skin tone & hydration, and reduces the appearance of wrinkles.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl tyrosinamide, alanine, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.",3.0,0.0,1.0,2.0,3.0,6.0,0.0,Dry and dehydrated skin|Elasticity|Fine Lines|Pigmentation|Redness|Texture|Wrinkles,,original,164,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,beneficial,Genel cilt sağlığını destekler,Supports overall skin health,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Acetyl Tetrapeptide,acetyltetrapeptide,"Acetyl tetrapeptide is a string of peptides used in skincare products to reduce the appearance of wrinkles brought on by repeated facial expressions.

It is in a class of ingredients also found on ingredients lists as acetylarginyltryptophyl diphenylglycine, acetyl tetrapeptide, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide. 
 ",0.0,0.0,0.0,0.0,0.0,5.0,1.0,Elasticity|Fine Lines|Pregnancy|Wrinkles,,original,1,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Acetyl Tyrosinamide,acetyltyrosinamide,"Acetyl tyrosinamide is an effective moisturising ingredient that also has been shown to be effective in evening out the skin tone and reducing hyperpigmentation.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine, alanine, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.",0.0,0.0,0.0,0.0,0.0,5.0,0.0,Elasticity|Fine Lines|Wrinkles,,original,3,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
