name,name_normalized,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,oily_effect,oily_reason_tr,combination_effect,combination_reason_tr,normal_effect,normal_reason_tr,sensitive_effect,sensitive_reason_tr,mature_effect,mature_reason_tr,pregnancy_safe_effect,pregnancy_safe_reason_tr,score_acne_prone,acne_prone_effect,acne_prone_reason_tr
"1,2-Hexanediol",12hexanediol,2.0,0.0,0.0,0.0,2.0,1.0,3.0,,,manual_v2,0,Koruyucu / Nemlendirici,Koruyucu / Nemlendirici,"1,2-Hexanediol, hem nemlendirici hem de koruyucu olarak işlev gören bir dioldür. Düşük konsantrasyonlarda antimikrobiyal etki gösterir ve formülasyonlarda koruyucu sistemin bir parçası olarak kullanılır. Ayrıca ciltte nem tutucu özelliği sayesinde hafif nemlendirme sağlar.",beneficial,"1,2-Hexanediol, nem bağlayıcı özelliği ile kuru ciltte su kaybını azaltır ve bariyer fonksiyonunu destekler. Düşük konsantrasyonlarda tahriş edici değildir, bu nedenle kuru ve hassas ciltler için uygundur. 💡 Kuru ciltler için nemlendirici ürünlerde tercih edilebilir; günde 1-2 kez kullanımı yeterlidir.",neutral,"Yağlı ciltlerde ek bir fayda sağlamaz, ancak hafif nemlendirme ile cildin su dengesini koruyabilir. Komedojenik değildir, bu nedenle yağlı ciltlerde sorun yaratmaz. 💡 Yağlı ciltler için özel bir öneri yoktur; mevcut nemlendiricilerde bulunması sorun teşkil etmez.",neutral,Karma ciltlerde hem kuru hem yağlı bölgelere dengeli bir nemlendirme sağlar. Herhangi bir olumsuz etkisi yoktur. 💡 Karma ciltler için günlük nemlendiricide kullanılabilir.,neutral,"Normal ciltlerde nemlendirici olarak işlev görür, ancak özel bir fayda sağlamaz. Genellikle güvenli ve tolere edilebilir. 💡 Normal cilt bakımında herhangi bir kısıtlama yoktur.",beneficial,"1,2-Hexanediol, düşük tahriş potansiyeli ile hassas ciltler için uygundur. Antimikrobiyal etkisi sayesinde koruyucu olarak kullanılır ve ciltte yanma veya kızarıklık yapma olasılığı düşüktür. 💡 Hassas ciltler için güvenle kullanılabilir; yine de yeni bir ürünü yama testi ile denemek önerilir.",neutral,"Olgun ciltlerde nemlendirme sağlar, ancak anti-aging etkisi sınırlıdır. Bariyer desteği ile cildin nem dengesini koruyarak kırışıklık görünümünü hafifletebilir. 💡 Olgun ciltler için nemlendirici olarak kullanılabilir; retinol gibi aktiflerle birlikte kullanımı uygundur.",beneficial,"1,2-Hexanediol, hamilelikte güvenli kabul edilen bir bileşendir. Teratojenik veya sistemik etkisi yoktur, topikal kullanımda emilimi düşüktür. 💡 Hamilelikte rahatlıkla kullanılabilir; herhangi bir kısıtlama yoktur.",0.0,neutral,"Komedojenik değildir ve akneyi tetiklemez. Nemlendirici etkisi akne tedavisinde yardımcı olabilir, ancak doğrudan anti-akne etkisi yoktur. 💡 Akneye meyilli ciltlerde kullanımı güvenlidir; diğer akne tedavileri ile kombine edilebilir."
1-Methylhydantoin-2-Imide,1methylhydantoin2imide,-1.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,,,manual_v2,0,Koruyucu Destekçi,Koruyucu Destekçi,"1-Methylhydantoin-2-Imide, formaldehit donörü bir koruyucudur. Zamanla formaldehit salarak mikrobiyal büyümeyi engeller. Ancak formaldehit salınımı nedeniyle hassas ciltlerde tahrişe neden olabilir ve bazı ülkelerde kullanımı sınırlandırılmıştır.",caution,"Kuru ciltlerde bariyer hasarı varsa, formaldehit salınımı tahrişi artırabilir. Uzun süreli kullanımda ciltte kuruluk ve pullanmayı kötüleştirebilir. 💡 Kuru ve hassas ciltlerde bu bileşeni içeren ürünlerden kaçınılması önerilir.",neutral,"Yağlı ciltlerde tahriş riski daha düşüktür, ancak formaldehit duyarlılığı olan kişilerde sorun yaratabilir. Genellikle yağlı ciltler için güvenli kabul edilir. 💡 Yağlı ciltlerde kullanılabilir, ancak hassasiyet durumunda alternatif koruyucular tercih edilmelidir.",neutral,"Karma ciltlerde genellikle tolere edilir, ancak kuru bölgelerde tahriş potansiyeli vardır. Düşük konsantrasyonlarda sorun yaratmaz. 💡 Karma ciltlerde dikkatli kullanılmalı; kuru bölgelerde tahriş görülürse bırakılmalıdır.",neutral,"Normal ciltlerde genellikle güvenlidir, ancak formaldehit alerjisi olan kişilerde kontakt dermatite yol açabilir. 💡 Normal ciltlerde kullanılabilir, ancak alerjik reaksiyon belirtilerinde kullanım durdurulmalıdır.",caution,"Hassas ciltlerde formaldehit salınımı nedeniyle yüksek tahriş riski vardır. Rozasea ve egzama gibi durumları kötüleştirebilir, kızarıklık ve yanmaya neden olabilir. 💡 Hassas ciltlerde kesinlikle önerilmez; formaldehitsiz koruyucu sistemler tercih edilmelidir.",caution,Olgun ciltlerde bariyer fonksiyonu zayıflamış olabileceğinden formaldehit tahrişi daha olasıdır. Uzun vadede cilt yaşlanmasını hızlandırabilir. 💡 Olgun ciltlerde bu bileşenden kaçınılması önerilir; daha güvenli koruyucular tercih edilmelidir.,caution,"Formaldehit donörleri hamilelikte düşük konsantrasyonlarda genellikle güvenli kabul edilse de, yüksek maruziyetten kaçınılmalıdır. Topikal kullanımda sistemik emilim düşüktür, ancak hassasiyet durumunda risk oluşturabilir. 💡 Hamilelikte kullanımı genellikle güvenlidir, ancak alternatif koruyucular tercih edilebilir.",0.0,neutral,"Akneye meyilli ciltlerde doğrudan akne ile ilişkili değildir, ancak tahrişe bağlı inflamasyonu artırabilir. Komedojenik değildir. 💡 Akneli ciltlerde kullanılabilir, ancak hassasiyet durumunda alternatifler düşünülmelidir."
2-Bromo-2-Nitropropane-1,2bromo2nitropropane1,-2.0,-1.0,-1.0,-1.0,-3.0,-2.0,-1.0,,,top1000,55,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"2-Bromo-2-Nitropropane-1,3-diol (Bronopol), formaldehit donörü bir koruyucudur. Geniş spektrumlu antimikrobiyal etkiye sahiptir, ancak formaldehit salınımı nedeniyle tahriş ve alerjik reaksiyon riski taşır. Bazı ülkelerde kullanımı kısıtlanmıştır.",caution,"Kuru ciltlerde bariyer hasarı varsa, formaldehit salınımı tahrişi artırabilir ve kuruluğu kötüleştirebilir. Uzun süreli kullanımda kontakt dermatit riski yüksektir. 💡 Kuru ciltlerde bu bileşeni içeren ürünlerden kaçınılması önerilir.",neutral,"Yağlı ciltlerde tahriş riski daha düşüktür, ancak formaldehit duyarlılığı olan kişilerde sorun yaratabilir. Genellikle yağlı ciltler için güvenli kabul edilmez. 💡 Yağlı ciltlerde kullanımı önerilmez; alternatif koruyucular tercih edilmelidir.",caution,Karma ciltlerde kuru bölgelerde tahriş potansiyeli vardır. Düşük konsantrasyonlarda bile hassasiyet oluşturabilir. 💡 Karma ciltlerde dikkatli kullanılmalı; tahriş belirtilerinde bırakılmalıdır.,neutral,"Normal ciltlerde genellikle tolere edilir, ancak formaldehit alerjisi olan kişilerde kontakt dermatite yol açabilir. Uzun vadede güvenli değildir. 💡 Normal ciltlerde kullanımı önerilmez; daha güvenli koruyucular tercih edilmelidir.",caution,"Hassas ciltlerde formaldehit salınımı nedeniyle yüksek tahriş riski vardır. Rozasea, egzama ve atopik dermatiti kötüleştirebilir, şiddetli kızarıklık ve yanmaya neden olabilir. 💡 Hassas ciltlerde kesinlikle kullanılmamalıdır; formaldehitsiz ürünler tercih edilmelidir.",caution,Olgun ciltlerde bariyer fonksiyonu zayıflamış olabileceğinden formaldehit tahrişi daha olasıdır. Uzun vadede cilt yaşlanmasını hızlandırabilir ve kırışıklıkları artırabilir. 💡 Olgun ciltlerde bu bileşenden kaçınılması önerilir; daha güvenli koruyucular tercih edilmelidir.,caution,"Formaldehit donörleri hamilelikte düşük konsantrasyonlarda genellikle güvenli kabul edilse de, yüksek maruziyetten kaçınılmalıdır. Topikal kullanımda sistemik emilim düşüktür, ancak hassasiyet durumunda risk oluşturabilir. 💡 Hamilelikte kullanımı genellikle güvenlidir, ancak alternatif koruyucular tercih edilebilir.",-1.0,neutral,"Akneye meyilli ciltlerde doğrudan akne ile ilişkili değildir, ancak tahrişe bağlı inflamasyonu artırabilir. Komedojenik değildir. 💡 Akneli ciltlerde kullanımı önerilmez; alternatif koruyucular tercih edilmelidir."
2-Hexanediol,2hexanediol,2.0,0.0,0.0,0.0,2.0,1.0,3.0,,,top1000,329,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"2-Hexanediol, 1,2-Hexanediol ile aynı bileşendir. Nemlendirici ve koruyucu olarak işlev görür. Düşük konsantrasyonlarda antimikrobiyal etki gösterir ve ciltte nem tutucu özelliği sayesinde hafif nemlendirme sağlar.",beneficial,"2-Hexanediol, nem bağlayıcı özelliği ile kuru ciltte su kaybını azaltır ve bariyer fonksiyonunu destekler. Düşük konsantrasyonlarda tahriş edici değildir, bu nedenle kuru ve hassas ciltler için uygundur. 💡 Kuru ciltler için nemlendirici ürünlerde tercih edilebilir; günde 1-2 kez kullanımı yeterlidir.",neutral,"Yağlı ciltlerde ek bir fayda sağlamaz, ancak hafif nemlendirme ile cildin su dengesini koruyabilir. Komedojenik değildir, bu nedenle yağlı ciltlerde sorun yaratmaz. 💡 Yağlı ciltler için özel bir öneri yoktur; mevcut nemlendiricilerde bulunması sorun teşkil etmez.",neutral,Karma ciltlerde hem kuru hem yağlı bölgelere dengeli bir nemlendirme sağlar. Herhangi bir olumsuz etkisi yoktur. 💡 Karma ciltler için günlük nemlendiricide kullanılabilir.,neutral,"Normal ciltlerde nemlendirici olarak işlev görür, ancak özel bir fayda sağlamaz. Genellikle güvenli ve tolere edilebilir. 💡 Normal cilt bakımında herhangi bir kısıtlama yoktur.",beneficial,"2-Hexanediol, düşük tahriş potansiyeli ile hassas ciltler için uygundur. Antimikrobiyal etkisi sayesinde koruyucu olarak kullanılır ve ciltte yanma veya kızarıklık yapma olasılığı düşüktür. 💡 Hassas ciltler için güvenle kullanılabilir; yine de yeni bir ürünü yama testi ile denemek önerilir.",neutral,"Olgun ciltlerde nemlendirme sağlar, ancak anti-aging etkisi sınırlıdır. Bariyer desteği ile cildin nem dengesini koruyarak kırışıklık görünümünü hafifletebilir. 💡 Olgun ciltler için nemlendirici olarak kullanılabilir; retinol gibi aktiflerle birlikte kullanımı uygundur.",beneficial,"2-Hexanediol, hamilelikte güvenli kabul edilen bir bileşendir. Teratojenik veya sistemik etkisi yoktur, topikal kullanımda emilimi düşüktür. 💡 Hamilelikte rahatlıkla kullanılabilir; herhangi bir kısıtlama yoktur.",0.0,neutral,"Komedojenik değildir ve akneyi tetiklemez. Nemlendirici etkisi akne tedavisinde yardımcı olabilir, ancak doğrudan anti-akne etkisi yoktur. 💡 Akneye meyilli ciltlerde kullanımı güvenlidir; diğer akne tedavileri ile kombine edilebilir."
2-Methylresorcinol,2methylresorcinol,-1.0,2.0,1.0,1.0,-2.0,2.0,-1.0,,,top1000,35,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"2-Methylresorcinol, resorsinol türevi bir bileşendir. Güçlü antioksidan ve cilt aydınlatıcı özelliklere sahiptir. Tirozinaz enzimini inhibe ederek melanin sentezini baskılar ve hiperpigmentasyon tedavisinde kullanılır. Ayrıca antimikrobiyal etkisi sayesinde akne tedavisinde de faydalı olabilir.",caution,"2-Methylresorcinol, kuru ciltlerde kuruluğu artırabilir ve bariyeri zayıflatabilir. Yüksek konsantrasyonlarda tahrişe neden olabilir. Nemlendirici ile kombine edilmelidir. 💡 Kuru ciltlerde düşük konsantrasyonlarda ve nemlendirici ile birlikte kullanılmalı; haftada 2-3 kez başlanmalıdır.",beneficial,Yağlı ciltlerde sebum kontrolüne yardımcı olabilir ve antimikrobiyal etkisi ile akne oluşumunu azaltabilir. Ayrıca leke görünümünü hafifletir. 💡 Yağlı ciltler için gece rutininde kullanılabilir; gündüz SPF50+ güneş kremi ile korunmalıdır.,neutral,"Karma ciltlerde T-bölgede faydalı olabilir, ancak kuru bölgelerde tahriş riski vardır. Bölgesel uygulama önerilir. 💡 Karma ciltlerde sadece yağlı bölgelere uygulanmalı; kuru bölgelerden kaçınılmalıdır.",neutral,Normal ciltlerde leke tedavisi ve antioksidan olarak faydalıdır. Genellikle iyi tolere edilir. 💡 Normal ciltlerde haftada 2-3 kez kullanılabilir; güneş koruması ihmal edilmemelidir.,caution,"Hassas ciltlerde yüksek tahriş potansiyeli vardır. Rozasea ve egzama gibi durumları kötüleştirebilir, kızarıklık ve yanmaya neden olabilir. 💡 Hassas ciltlerde kullanımı önerilmez; daha nazik aydınlatıcılar (örneğin azelaik asit) tercih edilmelidir.",beneficial,"Antioksidan etkisi ile yaşlanma belirtilerini azaltır ve kolajen sentezini destekler. Hiperpigmentasyonu azaltarak cilt tonunu eşitler. 💡 Olgun ciltler için gece rutininde kullanılabilir; retinol ile kombine edilebilir, ancak aşırı tahrişten kaçınmak için haftada 2-3 kez başlanmalıdır.",caution,"2-Methylresorcinol'ün hamilelikte güvenliği konusunda yeterli veri yoktur. Resorsinol türevlerinin yüksek dozlarda sistemik etkileri olabilir, bu nedenle dikkatli olunmalıdır. 💡 Hamilelikte kullanımı önerilmez; güvenli alternatifler (örneğin azelaik asit, C vitamini) tercih edilmelidir.",2.0,beneficial,Antimikrobiyal ve antiinflamatuar etkileri sayesinde akne oluşumunu azaltır. Ayrıca akne sonrası koyu lekelerin (post-inflamatuar hiperpigmentasyon) tedavisinde etkilidir. 💡 Akneli ciltler için gece kullanımı önerilir; gündüz mutlaka SPF50+ güneş kremi kullanılmalıdır.
2-Oleamido-1,2oleamido1,3.0,1.0,2.0,2.0,3.0,3.0,3.0,,,top1000,79,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"2-Oleamido-1,3-Octadecanediol, seramid benzeri yapıda bir lipit bileşenidir. Cilt bariyerini güçlendirir ve nem kaybını önler. Anti-enflamatuar özellikleri sayesinde hassas ciltlerde yatıştırıcı etki gösterir.",beneficial,"Seramid benzeri yapısıyla cilt bariyerini onarır, transepidermal su kaybını azaltır. Kuru ciltlerde pullanma ve sıkılık hissini giderir, lipit tabakasını destekler. 💡 Günlük nemlendiricide kullanılabilir. Hyaluronik asit ile kombine edildiğinde nemlendirme etkisi artar.",neutral,"Hafif yağlı his bırakabilir ancak komedojenik değildir. Yağlı ciltlerde bariyer desteği sağlar, aşırı sebum üretimini tetiklemez. 💡 Yağsız formülasyonlarda tercih edin. Gece kullanımı uygundur.",beneficial,"Kuru bölgelerde bariyer onarımı sağlar, yağlı bölgelerde ise dengeleyici etki gösterir. Karma ciltlerde her iki bölgeye de uyum sağlar. 💡 Tüm yüze uygulanabilir. Gündüz hafif bir nemlendirici ile kullanın.",beneficial,Normal ciltte bariyer fonksiyonunu korur ve nem dengesini destekler. Uzun vadede cilt sağlığını iyileştirir. 💡 Günlük bakım rutinine ekleyin. Diğer aktiflerle uyumludur.,beneficial,Anti-enflamatuar özellikleri sayesinde rozasea ve egzama gibi hassas cilt durumlarında kızarıklık ve tahrişi azaltır. Bariyer onarımı ile cildi yatıştırır. 💡 Hassas ciltler için idealdir. Yatıştırıcı serum veya nemlendiricide kullanın.,beneficial,"Yaşlanma ile azalan seramidleri takviye eder, cilt elastikiyetini artırır. İnce çizgilerin görünümünü azaltır ve bariyeri güçlendirir. 💡 Retinol veya peptitlerle birlikte kullanılabilir. Gece bakımında tercih edin.",beneficial,"Topikal kullanımda güvenli kabul edilir, sistemik emilimi düşüktür. Hamilelikte cilt bariyerini desteklemek için uygundur. 💡 Güvenle kullanılabilir. Herhangi bir kısıtlama yoktur.",1.0,neutral,"Komedojenik değildir, ancak yağlı yapısı bazı akne tiplerinde gözenekleri tıkayabilir. Anti-enflamatuar etkisi sayesinde inflamatuar akneyi hafifletebilir. 💡 Düşük konsantrasyonlu ürünler tercih edin. Salisilik asit ile kombine kullanmayın."
"2-Oleamido-1,3-Octadecanediol",2oleamido13octadecanediol,3.0,1.0,2.0,2.0,3.0,3.0,3.0,Impaired skin barrier|Dry and dehydrated skin,,manual_v2,0,Seramid Benzeri Lipit,Seramid Benzeri Lipit,"2-Oleamido-1,3-Octadecanediol, seramid benzeri bir lipit olup cilt bariyerini onarır ve nemi hapseder. Anti-enflamatuar ve yatıştırıcı özellikleri sayesinde hassas ciltlerde etkilidir.",beneficial,"Seramid benzeri yapısıyla cilt bariyerini güçlendirir, transepidermal su kaybını azaltır. Kuru ciltlerde pullanma ve sıkılık hissini giderir. 💡 Günlük nemlendiricide kullanın. Hyaluronik asit ile kombine edildiğinde etki artar.",neutral,"Hafif yağlı his bırakabilir ancak komedojenik değildir. Yağlı ciltlerde bariyer desteği sağlar, sebum dengesini bozmaz. 💡 Yağsız formülasyonlarda tercih edin. Gece kullanımı uygundur.",beneficial,"Kuru bölgelerde bariyer onarımı sağlar, yağlı bölgelerde dengeleyici etki gösterir. Karma ciltlerde her iki bölgeye de uyum sağlar. 💡 Tüm yüze uygulanabilir. Gündüz hafif bir nemlendirici ile kullanın.",beneficial,Normal ciltte bariyer fonksiyonunu korur ve nem dengesini destekler. Uzun vadede cilt sağlığını iyileştirir. 💡 Günlük bakım rutinine ekleyin. Diğer aktiflerle uyumludur.,beneficial,Anti-enflamatuar özellikleri sayesinde rozasea ve egzama gibi hassas cilt durumlarında kızarıklık ve tahrişi azaltır. Bariyer onarımı ile cildi yatıştırır. 💡 Hassas ciltler için idealdir. Yatıştırıcı serum veya nemlendiricide kullanın.,beneficial,"Yaşlanma ile azalan seramidleri takviye eder, cilt elastikiyetini artırır. İnce çizgilerin görünümünü azaltır ve bariyeri güçlendirir. 💡 Retinol veya peptitlerle birlikte kullanılabilir. Gece bakımında tercih edin.",beneficial,"Topikal kullanımda güvenli kabul edilir, sistemik emilimi düşüktür. Hamilelikte cilt bariyerini desteklemek için uygundur. 💡 Güvenle kullanılabilir. Herhangi bir kısıtlama yoktur.",1.0,neutral,"Komedojenik değildir, ancak yağlı yapısı bazı akne tiplerinde gözenekleri tıkayabilir. Anti-enflamatuar etkisi sayesinde inflamatuar akneyi hafifletebilir. 💡 Düşük konsantrasyonlu ürünler tercih edin. Salisilik asit ile kombine kullanmayın."
3-Diol,3diol,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,,top1000,51,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"3-Diol, genellikle nemlendirici ve yumuşatıcı olarak kullanılan bir diol bileşiğidir. Ciltte nem tutulumunu artırır ve hafif antimikrobiyal özellik gösterebilir.",beneficial,"Nemlendirici özelliği sayesinde kuru ciltte su kaybını azaltır, yumuşatıcı etki sağlar. Ancak tek başına bariyer onarımı yapmaz. 💡 Nemlendirici formülasyonlarda kullanılabilir. Seramidlerle kombine edildiğinde daha etkilidir.",neutral,"Hafif nemlendirme sağlar, yağlı ciltte ağırlık yapmaz. Antimikrobiyal etkisi akneye meyilli ciltlerde faydalı olabilir. 💡 Yağsız nemlendiricilerde tercih edin. Gündüz kullanımı uygundur.",neutral,"Karma ciltte dengeleyici bir nemlendirme sağlar, ancak belirgin bir etkisi yoktur. T bölgesinde hafif kalabilir. 💡 Tüm yüze uygulanabilir. Diğer aktiflerle birlikte kullanın.",neutral,"Normal ciltte nemlendirme sağlar, ancak özel bir faydası yoktur. Genel bakımda kullanılabilir. 💡 Günlük nemlendirici olarak kullanılabilir.",beneficial,Hafif antimikrobiyal ve yatıştırıcı özellikleri sayesinde hassas ciltte tahrişi azaltabilir. Ancak bazı hassas ciltlerde reaksiyona neden olabilir. 💡 Düşük konsantrasyonlu ürünlerle başlayın. Yama testi yapın.,neutral,Nemlendirme sağlar ancak yaşlanma karşıtı belirgin bir etkisi yoktur. Diğer aktiflerle birlikte kullanılabilir. 💡 Retinol veya C vitamini ile kombine edin.,beneficial,"Topikal kullanımda güvenli kabul edilir, sistemik emilimi düşüktür. Hamilelikte nemlendirici olarak kullanılabilir. 💡 Güvenle kullanılabilir.",2.0,beneficial,Antimikrobiyal etkisi sayesinde akneye neden olan bakterileri azaltabilir. Nemlendirici özelliği ile kuruluğu önler. 💡 Akne tedavisinde yardımcı olarak kullanılabilir. Salisilik asit ile kombine edilebilir.
3-O-Ethyl Ascorbic Acid,3oethylascorbicacid,2.0,2.0,2.0,2.0,1.0,3.0,3.0,Pigmentation|Radiance|Fine Lines|Anyone,,manual_v2,0,C Vitamini (Etil Askorbik Asit),C Vitamini (Etil Askorbik Asit),"3-O-Ethyl Ascorbic Acid, stabil bir C vitamini türevidir. Antioksidan özellik gösterir, kolajen sentezini uyarır ve hiperpigmentasyonu azaltır. L-askorbik aside göre daha stabil ve daha az tahriş edicidir.",beneficial,"Antioksidan etkisiyle serbest radikalleri nötralize eder, kolajen sentezini destekler. Ancak yüksek konsantrasyonlarda kuruluk yapabilir. 💡 Nemlendirici ile birlikte kullanın. Gece kullanımı tercih edilebilir.",beneficial,"Antioksidan koruma sağlar, sebum oksidasyonunu azaltır. Hafif formülasyonlarda yağlı ciltler için uygundur. 💡 Gündüz SPF ile birlikte kullanın. Yağsız serum formunu tercih edin.",beneficial,Tüm cilt tipleri için uygun antioksidan koruma sağlar. Hiperpigmentasyonu azaltmada etkilidir. 💡 Gündüz kullanımı önerilir. Nemlendirici sonrası uygulayın.,beneficial,Antioksidan koruma ve aydınlatma sağlar. Normal ciltte düzenli kullanımda cilt tonunu eşitler. 💡 Günlük bakım rutinine ekleyin. SPF ile kombine edin.,caution,"L-askorbik aside göre daha az tahriş edici olsa da, hassas ciltlerde yanma veya kızarıklığa neden olabilir. Düşük konsantrasyonlarla başlanmalıdır. 💡 Düşük konsantrasyonlu (%10-15) ürünlerle başlayın. Yama testi yapın.",beneficial,"Kolajen sentezini uyararak ince çizgileri azaltır, antioksidan koruma ile yaşlanma belirtilerini geciktirir. Hiperpigmentasyonu azaltır. 💡 Gündüz SPF ile birlikte kullanın. Retinol ile dönüşümlü kullanılabilir.",beneficial,"Topikal C vitamini türevleri hamilelikte güvenli kabul edilir. Sistemik emilimi düşüktür, teratojenik risk taşımaz. 💡 Güvenle kullanılabilir. SPF ile kombine edin.",2.0,beneficial,"Antioksidan etkisiyle inflamasyonu azaltır, akne sonrası lekelerin görünümünü hafifletir. Komedojenik değildir. 💡 Gündüz kullanımı önerilir. Salisilik asit ile aynı rutinde kullanılabilir."
3-Octadecanediol,3octadecanediol,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,,top1000,75,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"3-Octadecanediol, bir diol bileşiği olup nemlendirici ve yumuşatıcı özellik gösterir. Ciltte nem tutulumunu artırır ve hafif antimikrobiyal etkiye sahip olabilir.",beneficial,"Nemlendirici özelliği sayesinde kuru ciltte su kaybını azaltır, yumuşatıcı etki sağlar. Ancak tek başına bariyer onarımı yapmaz. 💡 Nemlendirici formülasyonlarda kullanılabilir. Seramidlerle kombine edildiğinde daha etkilidir.",neutral,"Hafif nemlendirme sağlar, yağlı ciltte ağırlık yapmaz. Antimikrobiyal etkisi akneye meyilli ciltlerde faydalı olabilir. 💡 Yağsız nemlendiricilerde tercih edin. Gündüz kullanımı uygundur.",neutral,"Karma ciltte dengeleyici bir nemlendirme sağlar, ancak belirgin bir etkisi yoktur. T bölgesinde hafif kalabilir. 💡 Tüm yüze uygulanabilir. Diğer aktiflerle birlikte kullanın.",neutral,"Normal ciltte nemlendirme sağlar, ancak özel bir faydası yoktur. Genel bakımda kullanılabilir. 💡 Günlük nemlendirici olarak kullanılabilir.",beneficial,Hafif antimikrobiyal ve yatıştırıcı özellikleri sayesinde hassas ciltte tahrişi azaltabilir. Ancak bazı hassas ciltlerde reaksiyona neden olabilir. 💡 Düşük konsantrasyonlu ürünlerle başlayın. Yama testi yapın.,neutral,Nemlendirme sağlar ancak yaşlanma karşıtı belirgin bir etkisi yoktur. Diğer aktiflerle birlikte kullanılabilir. 💡 Retinol veya C vitamini ile kombine edin.,beneficial,"Topikal kullanımda güvenli kabul edilir, sistemik emilimi düşüktür. Hamilelikte nemlendirici olarak kullanılabilir. 💡 Güvenle kullanılabilir.",2.0,beneficial,Antimikrobiyal etkisi sayesinde akneye neden olan bakterileri azaltabilir. Nemlendirici özelliği ile kuruluğu önler. 💡 Akne tedavisinde yardımcı olarak kullanılabilir. Salisilik asit ile kombine edilebilir.
